"filename", "language", "TypeScript", "JSON", "Properties", "JavaScript", "XML", "TypeScript JSX", "JSON with Comments", "CSS", "comment", "blank", "total"
"/Users/rock/Documents/Projekti/expo-app/client/components/scan/svgScanOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 292, 0, 0, 0, 44, 336
"/Users/rock/Documents/Projekti/expo-app/client/eas.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 21, 0, 0, 1, 22
"/Users/rock/Documents/Projekti/expo-app/client/env.d.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/rock/Documents/Projekti/expo-app/client/global.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 7, 10
"/Users/rock/Documents/Projekti/expo-app/client/globalTypes.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/rock/Documents/Projekti/expo-app/client/hooks/home/useSwipe.ts", "TypeScript", 118, 0, 0, 0, 0, 0, 0, 0, 3, 23, 144
"/Users/rock/Documents/Projekti/expo-app/client/hooks/listingDetails/useSimilarListingAni.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 0, 5, 41
"/Users/rock/Documents/Projekti/expo-app/client/hooks/useCameraDevicesHook.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 2, 6, 59
"/Users/rock/Documents/Projekti/expo-app/client/hooks/useCapturePhoto.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 4, 17, 71
"/Users/rock/Documents/Projekti/expo-app/client/hooks/useKeyboardHeight.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 1, 10, 43
"/Users/rock/Documents/Projekti/expo-app/client/lib/axios.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"/Users/rock/Documents/Projekti/expo-app/client/metro.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 4, 9
"/Users/rock/Documents/Projekti/expo-app/client/nativewind-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 8
"/Users/rock/Documents/Projekti/expo-app/client/package-lock.json", "JSON", 0, 11561, 0, 0, 0, 0, 0, 0, 0, 1, 11562
"/Users/rock/Documents/Projekti/expo-app/client/package.json", "JSON", 0, 58, 0, 0, 0, 0, 0, 0, 0, 1, 59
"/Users/rock/Documents/Projekti/expo-app/client/services/facebookService.ts", "TypeScript", 95, 0, 0, 0, 0, 0, 0, 0, 0, 19, 114
"/Users/rock/Documents/Projekti/expo-app/client/services/imageService.ts", "TypeScript", 116, 0, 0, 0, 0, 0, 0, 0, 0, 26, 142
"/Users/rock/Documents/Projekti/expo-app/client/services/supabase/itemsServices.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 0, 0, 1, 9, 80
"/Users/rock/Documents/Projekti/expo-app/client/services/supabase/supabaseClient.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/rock/Documents/Projekti/expo-app/client/services/supabase/uploadImages.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 11, 49
"/Users/rock/Documents/Projekti/expo-app/client/stores/appStore.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 6, 52
"/Users/rock/Documents/Projekti/expo-app/client/stores/items2Store.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 15, 118
"/Users/rock/Documents/Projekti/expo-app/client/stores/itemsStore.ts", "TypeScript", 171, 0, 0, 0, 0, 0, 0, 0, 6, 27, 204
"/Users/rock/Documents/Projekti/expo-app/client/stores/listingDetailsStore.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"/Users/rock/Documents/Projekti/expo-app/client/stores/popupStore.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 1, 4, 26
"/Users/rock/Documents/Projekti/expo-app/client/stores/userStore.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/rock/Documents/Projekti/expo-app/client/tailwind.config.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"/Users/rock/Documents/Projekti/expo-app/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 13
"Total", "-", 1165, 11619, 4, 110, 6, 2308, 34, 3, 126, 529, 15904
